date,vendor_id,rate,id
01/08/2019,1,0.29,1
01/08/2019,2,0.07,2
01/08/2019,3,0.27,3
01/08/2019,4,0.14,4
01/08/2019,5,0.05,5
01/08/2019,6,0.24,6
01/08/2019,7,0.29,7
01/08/2019,8,0.22,8
01/08/2019,9,0.24,9
02/08/2019,1,0.27,10
02/08/2019,2,0.19,11
02/08/2019,3,0.17,12
02/08/2019,4,0.09,13
02/08/2019,5,0.12,14
02/08/2019,6,0.1,15
02/08/2019,7,0.2,16
02/08/2019,8,0.14,17
02/08/2019,9,0.12,18
03/08/2019,1,0.05,19
03/08/2019,2,0.17,20
03/08/2019,3,0.22,21
03/08/2019,4,0.15,22
03/08/2019,5,0.22,23
03/08/2019,6,0.25,24
03/08/2019,7,0.28,25
03/08/2019,8,0.22,26
03/08/2019,9,0.15,27
04/08/2019,1,0.09,28
04/08/2019,2,0.07,29
04/08/2019,3,0.19,30
04/08/2019,4,0.14,31
04/08/2019,5,0.12,32
04/08/2019,6,0.06,33
04/08/2019,7,0.19,34
04/08/2019,8,0.11,35
04/08/2019,9,0.14,36
05/08/2019,1,0.19,37
05/08/2019,2,0.15,38
05/08/2019,3,0.25,39
05/08/2019,4,0.2,40
05/08/2019,5,0.21,41
05/08/2019,6,0.16,42
05/08/2019,7,0.12,43
05/08/2019,8,0.16,44
05/08/2019,9,0.17,45
06/08/2019,1,0.23,46
06/08/2019,2,0.24,47
06/08/2019,3,0.27,48
06/08/2019,4,0.2,49
06/08/2019,5,0.27,50
06/08/2019,6,0.27,51
06/08/2019,7,0.25,52
06/08/2019,8,0.11,53
06/08/2019,9,0.26,54
07/08/2019,1,0.27,55
07/08/2019,2,0.23,56
07/08/2019,3,0.19,57
07/08/2019,4,0.07,58
07/08/2019,5,0.11,59
07/08/2019,6,0.15,60
07/08/2019,7,0.25,61
07/08/2019,8,0.21,62
07/08/2019,9,0.11,63
08/08/2019,1,0.17,64
08/08/2019,2,0.16,65
08/08/2019,3,0.13,66
08/08/2019,4,0.3,67
08/08/2019,5,0.24,68
08/08/2019,6,0.22,69
08/08/2019,7,0.06,70
08/08/2019,8,0.22,71
08/08/2019,9,0.1,72
09/08/2019,1,0.18,73
09/08/2019,2,0.06,74
09/08/2019,3,0.28,75
09/08/2019,4,0.18,76
09/08/2019,5,0.13,77
09/08/2019,6,0.12,78
09/08/2019,7,0.17,79
09/08/2019,8,0.09,80
09/08/2019,9,0.09,81
10/08/2019,1,0.23,82
10/08/2019,2,0.19,83
10/08/2019,3,0.24,84
10/08/2019,4,0.19,85
10/08/2019,5,0.07,86
10/08/2019,6,0.07,87
10/08/2019,7,0.27,88
10/08/2019,8,0.19,89
10/08/2019,9,0.16,90
11/08/2019,1,0.29,91
11/08/2019,2,0.28,92
11/08/2019,3,0.17,93
11/08/2019,4,0.22,94
11/08/2019,5,0.07,95
11/08/2019,6,0.24,96
11/08/2019,7,0.07,97
11/08/2019,8,0.16,98
11/08/2019,9,0.29,99
12/08/2019,1,0.23,100
12/08/2019,2,0.08,101
12/08/2019,3,0.17,102
12/08/2019,4,0.23,103
12/08/2019,5,0.06,104
12/08/2019,6,0.17,105
12/08/2019,7,0.12,106
12/08/2019,8,0.17,107
12/08/2019,9,0.08,108
13/08/2019,1,0.25,109
13/08/2019,2,0.13,110
13/08/2019,3,0.08,111
13/08/2019,4,0.05,112
13/08/2019,5,0.24,113
13/08/2019,6,0.2,114
13/08/2019,7,0.13,115
13/08/2019,8,0.09,116
13/08/2019,9,0.11,117
14/08/2019,1,0.1,118
14/08/2019,2,0.1,119
14/08/2019,3,0.08,120
14/08/2019,4,0.24,121
14/08/2019,5,0.28,122
14/08/2019,6,0.13,123
14/08/2019,7,0.21,124
14/08/2019,8,0.18,125
14/08/2019,9,0.13,126
15/08/2019,1,0.28,127
15/08/2019,2,0.18,128
15/08/2019,3,0.18,129
15/08/2019,4,0.23,130
15/08/2019,5,0.17,131
15/08/2019,6,0.17,132
15/08/2019,7,0.12,133
15/08/2019,8,0.26,134
15/08/2019,9,0.25,135
16/08/2019,1,0.2,136
16/08/2019,2,0.05,137
16/08/2019,3,0.15,138
16/08/2019,4,0.12,139
16/08/2019,5,0.22,140
16/08/2019,6,0.3,141
16/08/2019,7,0.29,142
16/08/2019,8,0.29,143
16/08/2019,9,0.05,144
17/08/2019,1,0.29,145
17/08/2019,2,0.07,146
17/08/2019,3,0.16,147
17/08/2019,4,0.24,148
17/08/2019,5,0.21,149
17/08/2019,6,0.28,150
17/08/2019,7,0.17,151
17/08/2019,8,0.29,152
17/08/2019,9,0.07,153
18/08/2019,1,0.18,154
18/08/2019,2,0.08,155
18/08/2019,3,0.07,156
18/08/2019,4,0.2,157
18/08/2019,5,0.15,158
18/08/2019,6,0.11,159
18/08/2019,7,0.25,160
18/08/2019,8,0.24,161
18/08/2019,9,0.21,162
19/08/2019,1,0.21,163
19/08/2019,2,0.21,164
19/08/2019,3,0.07,165
19/08/2019,4,0.3,166
19/08/2019,5,0.28,167
19/08/2019,6,0.07,168
19/08/2019,7,0.29,169
19/08/2019,8,0.28,170
19/08/2019,9,0.12,171
20/08/2019,1,0.19,172
20/08/2019,2,0.29,173
20/08/2019,3,0.21,174
20/08/2019,4,0.15,175
20/08/2019,5,0.18,176
20/08/2019,6,0.28,177
20/08/2019,7,0.13,178
20/08/2019,8,0.07,179
20/08/2019,9,0.16,180
21/08/2019,1,0.21,181
21/08/2019,2,0.06,182
21/08/2019,3,0.07,183
21/08/2019,4,0.18,184
21/08/2019,5,0.13,185
21/08/2019,6,0.23,186
21/08/2019,7,0.26,187
21/08/2019,8,0.28,188
21/08/2019,9,0.09,189
22/08/2019,1,0.24,190
22/08/2019,2,0.2,191
22/08/2019,3,0.16,192
22/08/2019,4,0.18,193
22/08/2019,5,0.2,194
22/08/2019,6,0.11,195
22/08/2019,7,0.07,196
22/08/2019,8,0.21,197
22/08/2019,9,0.23,198
23/08/2019,1,0.3,199
23/08/2019,2,0.29,200
23/08/2019,3,0.23,201
23/08/2019,4,0.09,202
23/08/2019,5,0.21,203
23/08/2019,6,0.08,204
23/08/2019,7,0.27,205
23/08/2019,8,0.2,206
